,Open,Close,"SI(C2>B2,1,0)"
2054,1387.79004,1391.03003,1
2055,1391.03003,1409.15002,1
2056,1409.15002,1406.29004,0
2057,1406.29004,1398.93994,0
2058,1398.77002,1409.93005,1
2059,1409.95996,1415.94995,1
2060,1415.94995,1416.18005,1
2061,1416.33997,1409.45996,0
2062,1409.45996,1407.05005,0
2063,1407.05005,1409.28003,1
2064,1409.43005,1413.93994,1
2065,1413.94995,1418.06995,1
2066,1418.06995,1418.55005,1
2067,1418.55005,1427.83997,1
2068,1427.83997,1428.47998,1
2069,1428.47998,1419.44995,0
2070,1419.44995,1413.57996,0
2071,1413.54004,1430.35999,1
2072,1430.46997,1446.79004,1
2073,1446.79004,1435.81006,0
2074,1435.81006,1443.68994,1
2075,1443.67004,1430.15002,0
2076,1430.15002,1426.66003,0
2077,1426.66003,1419.82996,0
2078,1419.82996,1418.09998,0
2079,1418.09998,1402.43005,0
2080,1402.43005,1426.18994,1
2081,1426.18994,1462.42004,1
2082,1462.42004,1459.37,0
2083,1459.37,1466.46997,1
2084,1466.46997,1461.89002,0
2085,1461.89002,1457.15002,0
2086,1457.15002,1461.02002,1
2087,1461.02002,1472.12,1
2088,1472.12,1472.05005,0
2089,1472.05005,1470.68005,0
2090,1470.67004,1472.33997,1
2091,1472.32996,1472.63001,1
2092,1472.63001,1480.93994,1
2093,1480.94995,1485.97998,1
2094,1485.97998,1492.56006,1
2095,1492.56006,1494.81006,1
2096,1494.81006,1494.81995,1
2097,1494.81995,1502.95996,1
2098,1502.95996,1500.18005,0
2099,1500.18005,1507.83997,1
2100,1507.83997,1501.95996,0
2101,1501.95996,1498.10999,0
2102,1498.10999,1513.17004,1
2103,1513.17004,1495.70996,0
2104,1495.70996,1511.29004,1
2105,1511.29004,1512.12,1
2106,1512.12,1509.39002,0
2107,1509.39002,1517.93005,1
2108,1517.93005,1517.01001,0
2109,1517.01001,1519.43005,1
2110,1519.43005,1520.32996,1
2111,1520.32996,1521.38001,1
2112,1521.38001,1519.79004,0
2113,1519.79004,1530.93994,1
