Date,Open,High,Low,Close,Adj Close,Volume
19/09/2014,2012.73999,2019.26001,2006.58997,2010.40002,2010.40002,4880220000
22/09/2014,2009.07996,2009.07996,1991.01001,1994.29004,1994.29004,3349670000
23/09/2014,1992.78003,1995.41003,1982.77002,1982.77002,1982.77002,3279350000
24/09/2014,1983.33997,1999.79004,1978.63001,1998.30005,1998.30005,3313850000
25/09/2014,1997.31995,1997.31995,1965.98999,1965.98999,1965.98999,3273050000
26/09/2014,1966.21997,1986.37000,1966.21997,1982.84998,1982.84998,2929440000
29/09/2014,1978.95996,1981.28003,1964.04004,1977.80005,1977.80005,3094440000
30/09/2014,1978.20996,1985.17004,1968.95996,1972.29004,1972.29004,3951100000
01/10/2014,1971.43994,1971.43994,1941.71997,1946.16003,1946.16003,4188590000
02/10/2014,1945.82996,1952.31995,1926.03003,1946.17004,1946.17004,4012510000
03/10/2014,1948.12000,1971.18994,1948.12000,1967.90002,1967.90002,3560970000
06/10/2014,1970.01001,1977.83997,1958.43005,1964.81995,1964.81995,3358220000
07/10/2014,1962.35999,1962.35999,1934.87000,1935.09998,1935.09998,3687870000
08/10/2014,1935.55005,1970.35999,1925.25000,1968.89002,1968.89002,4441890000
09/10/2014,1967.68005,1967.68005,1927.56006,1928.20996,1928.20996,4344020000
10/10/2014,1925.63001,1936.97998,1906.05005,1906.13001,1906.13001,4550540000
13/10/2014,1905.65002,1912.08997,1874.14002,1874.73999,1874.73999,4352580000
14/10/2014,1877.10999,1898.70996,1871.79004,1877.69995,1877.69995,4812010000
15/10/2014,1874.18005,1874.18005,1820.66003,1862.48999,1862.48999,6090800000
16/10/2014,1855.94995,1876.01001,1835.02002,1862.76001,1862.76001,5073150000
17/10/2014,1864.91003,1898.16003,1864.91003,1886.76001,1886.76001,4482120000
20/10/2014,1885.62000,1905.03003,1882.30005,1904.01001,1904.01001,3331210000
21/10/2014,1909.38001,1942.44995,1909.38001,1941.28003,1941.28003,3987090000
22/10/2014,1941.29004,1949.31006,1926.82996,1927.10999,1927.10999,3761930000
23/10/2014,1931.02002,1961.94995,1931.02002,1950.81995,1950.81995,3789250000
24/10/2014,1951.58997,1965.27002,1946.27002,1964.57996,1964.57996,3078380000
27/10/2014,1962.96997,1964.64002,1951.37000,1961.63001,1961.63001,3538860000
28/10/2014,1964.14002,1985.05005,1964.14002,1985.05005,1985.05005,3653260000
29/10/2014,1983.29004,1991.40002,1969.04004,1982.30005,1982.30005,3740350000
30/10/2014,1979.48999,1999.40002,1974.75000,1994.65002,1994.65002,3586150000
31/10/2014,2001.19995,2018.18994,2001.19995,2018.05005,2018.05005,4292290000
03/11/2014,2018.20996,2024.45996,2013.68005,2017.81006,2017.81006,3555440000
04/11/2014,2015.81006,2015.97998,2001.01001,2012.09998,2012.09998,3956260000
05/11/2014,2015.29004,2023.77002,2014.42004,2023.56995,2023.56995,3766590000
06/11/2014,2023.32996,2031.60999,2015.85999,2031.20996,2031.20996,3669770000
07/11/2014,2032.35999,2034.26001,2025.06995,2031.92004,2031.92004,3704280000
10/11/2014,2032.01001,2038.69995,2030.17004,2038.26001,2038.26001,3284940000
11/11/2014,2038.19995,2041.28003,2035.28003,2039.68005,2039.68005,2958320000
12/11/2014,2037.75000,2040.32996,2031.94995,2038.25000,2038.25000,3246650000
13/11/2014,2039.20996,2046.18005,2030.43994,2039.32996,2039.32996,3455270000
14/11/2014,2039.73999,2042.21997,2035.19995,2039.81995,2039.81995,3227130000
17/11/2014,2038.29004,2043.06995,2034.45996,2041.31995,2041.31995,3152890000
18/11/2014,2041.47998,2056.08008,2041.47998,2051.80005,2051.80005,3416190000
19/11/2014,2051.15991,2052.13989,2040.37000,2048.71997,2048.71997,3390850000
20/11/2014,2045.87000,2053.84009,2040.48999,2052.75000,2052.75000,3128290000
21/11/2014,2057.45996,2071.45996,2056.75000,2063.50000,2063.50000,3916420000
24/11/2014,2065.07007,2070.16992,2065.07007,2069.40991,2069.40991,3128060000
25/11/2014,2070.14990,2074.20996,2064.75000,2067.03003,2067.03003,3392940000
26/11/2014,2067.36011,2073.29004,2066.62012,2072.83008,2072.83008,2745260000
28/11/2014,2074.78003,2075.76001,2065.06006,2067.56006,2067.56006,2504640000
01/12/2014,2065.78003,2065.78003,2049.57007,2053.43994,2053.43994,4159010000
02/12/2014,2053.77002,2068.77002,2053.77002,2066.55005,2066.55005,3686650000
03/12/2014,2067.44995,2076.28003,2066.64990,2074.33008,2074.33008,3612680000
04/12/2014,2073.63989,2077.34009,2062.34009,2071.91992,2071.91992,3408340000
05/12/2014,2072.78003,2079.46997,2070.81006,2075.37012,2075.37012,3419620000
08/12/2014,2074.84009,2075.78003,2054.27002,2060.31006,2060.31006,3800990000
09/12/2014,2056.55005,2060.60010,2034.17004,2059.82007,2059.82007,3970150000
10/12/2014,2058.86011,2058.86011,2024.26001,2026.14002,2026.14002,4114440000
11/12/2014,2027.92004,2055.53003,2027.92004,2035.32996,2035.32996,3917950000
