,Open,Close,"SI(C2<>B2,1,0)"
1059,26.69,26.69,0
1060,26.94,26.94,0
1061,27.17,27.17,0
1062,27.21,27.21,0
1063,27.26,27.26,0
1064,27.01,27.01,0
1065,27.11,27.11,0
1066,27.38,27.38,0
1067,27.38,27.38,0
1068,27.57,27.57,0
1069,27.64,27.64,0
1070,27.85,27.85,0
1071,27.94,27.94,0
1072,27.76,27.76,0
1073,27.75,27.75,0
1074,27.64,27.64,0
1075,27.68,27.68,0
1076,27.78,27.78,0
1077,27.88,27.88,0
1078,27.71,27.71,0
1079,27.76,27.76,0
1080,28.18,28.18,0
1081,28.26,28.26,0
1082,28.21,28.21,0
1083,28.28,28.28,0
1084,28.29,28.29,0
1085,28.51,28.51,0
1086,28.65,28.65,0
1087,28.62,28.62,0
1088,28.49,28.49,0
1089,28.72,28.72,0
1090,28.56,28.56,0
1091,28.8,28.8,0
1092,28.84,28.84,0
1093,28.85,28.85,0
1094,28.72,28.72,0
1095,28.82,28.82,0
1096,28.99,28.99,0
1097,29,29,0
1098,28.93,28.93,0
1099,29.17,29.17,0
1100,29.05,29.05,0
1101,29.19,29.19,0
1102,29.19,29.19,0
1103,29.16,29.16,0
1104,29.15,29.15,0
1105,29.1,29.1,0
1106,28.99,28.99,0
1107,28.34,28.34,0
1108,28.15,28.15,0
1109,28.34,28.34,0
1110,28.58,28.58,0
1111,28.62,28.62,0
1112,28.83,28.83,0
1113,29.04,29.04,0
1114,28.96,28.96,0
1115,29.04,29.04,0
1116,29.06,29.06,0
1117,29.08,29.08,0
1118,29.13,29.13,0
1119,29.26,29.26,0
1120,29.2,29.2,0
1121,29.28,29.28,0
1122,29.43,29.43,0
1123,29.21,29.21,0
1124,29.21,29.21,0
1125,29.59,29.59,0
1126,29.92,29.92,0
1127,29.94,29.94,0
1128,29.94,29.94,0
1129,30.14,30.14,0
1130,30.12,30.12,0
1131,30.02,30.02,0
1132,30.09,30.09,0
1133,30.19,30.19,0
1134,30.06,30.06,0
1135,29.98,29.98,0
1136,29.84,29.84,0
1137,30.03,30.03,0
1138,30.27,30.27,0
1139,30.31,30.31,0
1140,30.34,30.34,0
1141,30.52,30.52,0
1142,30.58,30.58,0
1143,30.69,30.69,0
1144,30.88,30.88,0
1145,30.99,30.99,0
1146,30.93,30.93,0
1147,30.9,30.9,0
1148,30.77,30.77,0
