,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
306,22.41,22.93,22.41,320200,171677,0
307,23.55,23.55,23.55,125700,171855,1
308,23.66,23.55,23.66,130500,171863,0
309,18.16,18.05,18.26,286400,172476,1
310,18.47,18.57,18.57,334600,173633,0
311,19.3,19.5,19.4,273900,175240,1
312,19.82,19.82,19.82,360000,176574,1
313,18.57,18.36,18.57,491200,177614,1
314,18.47,18.26,18.26,349300,178296,0
315,18.36,18.57,18.47,487200,178575,0
316,18.26,18.16,18.26,611200,179119,0
317,18.16,18.26,18.05,264400,179225,0
318,17.53,17.53,17.43,319900,181030,1
319,18.57,18.57,18.36,419000,182836,0
320,19.82,20.02,19.92,377600,183943,0
321,19.3,19.5,19.61,510800,184210,1
322,19.61,19.4,19.5,402800,184387,0
323,19.09,19.3,19.19,293600,184489,0
324,22.62,22.62,22.51,998000,186900,0
325,22.83,22.62,22.41,543100,187190,1
326,22.93,22.83,22.93,1107400,187265,1
327,22.83,23.34,22.83,731000,187992,1
328,22.72,23.86,22.83,573400,188156,0
329,21.79,22.41,22,314100,188700,1
330,22.31,22.2,22.41,589000,189146,0
331,22,22.31,22.2,515800,189490,1
332,24.07,23.76,24.07,735600,190229,1
333,24.38,24.28,24.59,327300,190292,0
334,24.17,24.38,24.38,173600,190281,1
335,24.38,24.17,24.38,155600,190502,0
336,24.49,24.69,24.59,241200,190938,0
337,22.93,23.03,22.93,340400,191438,0
338,24.59,24.17,24.59,262900,192070,1
339,23.14,23.03,22.93,391300,192830,1
340,24.8,24.69,24.69,827200,193143,0
341,23.03,23.76,22.93,366400,193938,0
342,21.79,22.1,22.2,389000,194826,0
343,22.1,22.31,22,924200,195658,1
344,23.14,23.03,23.34,242100,196028,1
345,23.14,23.45,23.24,372000,196777,1
346,27.6,27.49,27.6,442300,198898,1
347,28.12,27.6,28.12,261300,198952,0
348,30.61,31.33,30.61,312000,200141,0
349,27.81,28.84,27.7,986400,200892,0
350,26.56,27.49,26.66,454600,201032,1
351,25.32,26.15,25.83,786400,201820,0
352,15.67,15.25,15.77,833400,205981,1
353,15.46,15.77,15.46,263700,206503,1
354,17.22,17.53,17.43,96100,206595,0
355,15.25,15.15,14.94,340600,206777,1
356,15.67,16.39,15.87,152200,206775,0
357,17.74,17.64,17.74,120200,207033,0
358,22,19.82,20.75,540000,207390,0
359,19.4,18.36,19.3,295600,207597,1
360,19.19,18.88,18.99,182400,207599,0
361,19.5,19.09,19.71,269800,207618,0
362,19.09,18.67,19.09,258000,207615,0
363,19.71,19.09,18.99,326100,207712,1
364,20.44,20.13,20.65,202000,207714,1
365,20.65,20.44,20.44,183100,207843,1
366,20.75,20.65,20.75,691800,207914,0
367,25,24.8,25,444400,208750,1
368,25.73,25.73,25.63,504900,208899,0
369,25.11,26.87,26.35,361900,211616,1
370,25.21,24.8,25,324900,212004,0
371,24.07,23.55,23.97,189800,212347,1
372,24.17,24.07,24.17,170400,212358,1
373,26.15,26.35,26.25,356200,212913,0
374,22.83,22.93,22.72,485700,213349,0
375,25.63,25.32,25.63,575800,213911,1
376,26.04,25.63,25.94,404700,213936,1
377,25.94,25.94,25.73,355600,214262,1
378,27.7,28.12,27.91,135000,214728,0
379,29.67,29.47,29.78,473800,215515,0
380,29.47,29.05,29.05,619200,215810,0
381,29.36,29.47,29.36,338500,215842,1
382,29.36,29.36,29.57,333900,215833,0
383,28.64,28.43,28.64,369800,215871,0
384,28.43,28.43,28.64,214200,215929,0
