,Open,Close,"SI(C2>B2,1,0)"
636,83.09,83.18,1
637,83.18,83,0
638,83,81.96,0
639,81.96,82.09,1
640,82.09,81.34,0
641,81.34,81.86,1
642,81.86,81.78,0
643,81.78,81.76,0
644,81.76,82.17,1
645,82.17,82.41,1
646,82.41,82.35,0
647,82.35,82.36,1
648,82.36,82.4,1
649,82.4,82.32,0
650,82.32,81.94,0
651,81.94,82.07,1
652,82.07,81.91,0
653,81.91,81.44,0
654,81.44,81.32,0
655,81.32,81.7,1
656,81.7,81.99,1
657,81.99,81.83,0
658,81.83,82.18,1
659,82.18,82.31,1
660,82.31,82.56,1
661,82.56,82.76,1
662,82.76,82.87,1
663,82.87,83.05,1
664,83.05,83.1,1
665,83.1,83.45,1
666,83.45,83.22,0
667,83.22,83,0
668,83,83.24,1
669,83.24,83.79,1
670,83.79,83.48,0
671,83.48,83.86,1
672,83.86,83.89,1
673,83.89,83.91,1
674,83.91,84,1
675,84,84.21,1
676,84.21,84.28,1
677,84.28,84.24,0
678,84.24,84.18,0
679,84.18,84.08,0
680,84.08,84.36,1
681,84.36,84.74,1
682,84.74,84.79,1
683,84.79,84.8,1
684,84.8,85.04,1
685,85.04,85.22,1
686,85.22,85.24,1
687,85.24,84.96,0
688,84.96,84.79,0
689,84.79,84.25,0
690,84.25,84.83,1
691,84.83,84.93,1
692,84.93,85.18,1
693,85.18,85.1,0
694,85.1,84.94,0
695,84.94,85.14,1
696,85.14,85,0
697,85,84.69,0
698,84.69,84.73,1
699,84.73,84.86,1
700,84.86,85.18,1
701,85.18,85.14,0
702,85.14,85.16,1
703,85.16,85.23,1
704,85.23,85.19,0
705,85.19,84.84,0
706,84.84,85.08,1
707,85.08,85.19,1
708,85.19,85.21,1
709,85.21,85.65,1
710,85.65,86.03,1
711,86.03,86.22,1
712,86.22,86.18,0
713,86.18,86.28,1
714,86.28,86,0
715,86,85.73,0
716,85.73,85.44,0
717,85.44,85.16,0
718,85.16,84.42,0
719,84.42,83.55,0
720,83.55,83.79,1
721,83.79,84.18,1
722,84.35,84.33,0
723,84.33,84,0
724,84,83.46,0
725,83.46,83.45,0
726,83.45,83.66,1
727,83.66,83.45,0
728,83.45,83.22,0
729,83.22,83.55,1
730,83.55,83.9,1
731,83.9,84.29,1
732,84.29,84.38,1
733,84.38,84.33,0
734,84.33,84.15,0
735,84.15,84.07,0
736,84.07,83.81,0
737,83.81,84.3,1
738,84.3,84.75,1
739,84.75,84.23,0
740,84.23,84.63,1
741,84.63,84.89,1
742,84.89,85.26,1
743,85.26,85.37,1
744,85.37,85.4,1
745,85.4,85.61,1
746,85.61,85.84,1
747,85.84,86.21,1
748,86.21,86.49,1
749,86.49,86.63,1
750,86.63,86.6,0
751,86.6,86.52,0
752,86.52,86.74,1
753,86.74,86.86,1
754,86.86,86.94,1
755,86.94,87.23,1
756,87.23,87.48,1
757,87.48,87.56,1
758,87.56,87.58,1
759,87.58,87.55,0
760,87.55,87.63,1
761,87.63,87.57,0
762,87.57,87.29,0
763,87,86.95,0
764,86.95,87.24,1
765,87.24,86.46,0
766,86.46,85.54,0
767,85.54,86.17,1
768,86.17,86.07,0
769,86.07,85.67,0
770,85.67,85.77,1
771,85.77,86.05,1
772,86.05,86.21,1
773,86.21,86.64,1
774,86.64,87.17,1
775,87.17,87.2,1
776,87.2,87.43,1
777,87.43,87.25,0
778,87.25,87.4,1
779,87.4,87.26,0
780,87.26,86.98,0
781,86.98,86.8,0
782,86.8,86.83,1
783,86.83,86.69,0
784,86.69,86.54,0
785,86.54,86.9,1
786,86.9,87.21,1
787,87.21,87.24,1
788,87.24,87.13,0
789,87.13,87.02,0
790,87.02,86.81,0
791,86.81,86.84,1
792,86.84,86.83,0
793,86.83,86.93,1
794,86.93,87.09,1
795,87.09,86.84,0
796,86.84,86.2,0
797,86.2,86.03,0
798,86.03,86.2,1
799,86.2,86.16,0
800,86.16,86.32,1
801,86.32,86.53,1
802,86.53,86.5,0
803,86.5,86.55,1
804,86.55,87.04,1
805,87.04,87.56,1
806,87.56,87.94,1
807,87.94,88.04,1
808,88.04,88.24,1
809,88.24,88.15,0
810,88.15,88.51,1
811,88.51,88.46,0
812,88.46,88.3,0
813,88.3,88.78,1
814,88.78,88.88,1
815,88.88,88.89,1
816,88.89,89.04,1
817,89.04,89,0
818,89,88.93,0
819,88.93,89.11,1
820,89.11,89.23,1
821,89.23,89.51,1
822,89.51,89.71,1
823,89.71,89.92,1
824,89.92,89.85,0
825,89.85,89.66,0
826,89.66,89.55,0
827,89.55,89.94,1
828,89.94,90.27,1
829,90.27,90.1,0
830,90.1,89.54,0
831,89.54,89.46,0
832,89.46,89.67,1
833,89.67,89.18,0
834,89.18,88.75,0
835,88.75,88.09,0
836,88.09,88.6,1
837,88.6,88.3,0
838,88.3,87.84,0
839,87.84,88.42,1
840,88.42,88.72,1
841,87.87,87.09,0
842,87.09,86.9,0
843,86.9,87.11,1
844,87.11,86.88,0
845,86.88,85.93,0
846,85.93,85.04,0
847,85.04,84.73,0
848,84.73,85.12,1
849,85.12,84.01,0
850,84.01,84.49,1
851,84.58,85.2,1
852,85.2,85.74,1
853,85.74,85.34,0
854,85.34,85.05,0
855,85.05,85.21,1
856,85.21,84.67,0
857,84.67,83.56,0
