,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
276,11.75,106,"1,245.50",15,16,51,0,1,0,-1
277,11.65,"1,500.00","17,475.00",15,17,8,0,1,0,-1
278,11.65,40,466,15,17,8,0,0,1,0
279,11.65,"6,700.00","78,055.00",15,17,8,0,0,1,0
280,11.7,25,292.5,15,21,44,1,0,0,1
281,11.7,606,"7,090.20",15,24,14,0,0,1,0
282,11.7,"2,394.00","28,009.80",15,24,14,0,0,1,0
283,11.55,"2,933.00","33,876.15",15,27,14,0,1,0,-1
284,11.6,"2,000.00","23,200.00",15,27,14,1,0,0,1
285,11.6,"2,000.00","23,200.00",15,27,14,0,0,1,0
286,11.6,"2,000.00","23,200.00",15,30,14,0,0,1,0
287,11.6,"5,000.00","58,000.00",15,30,14,0,0,1,0
288,11.7,"1,493.00","17,468.10",15,30,37,1,0,0,1
289,11.7,20,234,15,31,30,0,0,1,0
290,11.7,180,"2,106.00",15,31,44,0,0,1,0
291,11.6,"1,020.00","11,832.00",15,33,9,0,1,0,-1
292,11.6,"1,000.00","11,600.00",15,33,9,0,0,1,0
293,11.6,"1,000.00","11,600.00",15,34,10,0,0,1,0
294,11.6,"2,000.00","23,200.00",15,34,10,0,0,1,0
295,11.65,"1,000.00","11,650.00",15,38,1,1,0,0,1
296,11.65,500,"5,825.00",15,38,23,0,0,1,0
297,11.65,500,"5,825.00",15,38,38,0,0,1,0
298,11.65,"2,000.00","23,300.00",15,38,47,0,0,1,0
299,11.65,"1,000.00","11,650.00",15,38,47,0,0,1,0
300,11.65,382,"4,450.30",15,39,35,0,0,1,0
301,11.65,457,"5,324.05",15,40,23,0,0,1,0
302,11.65,43,500.95,15,40,36,0,0,1,0
303,11.6,"2,595.00","30,102.00",15,42,19,0,1,0,-1
304,11.65,836,"9,739.40",15,43,15,1,0,0,1
305,11.7,400,"4,680.00",15,44,34,1,0,0,1
306,11.7,153,"1,790.10",15,44,37,0,0,1,0
307,11.6,"1,466.00","17,005.60",15,53,6,0,1,0,-1
308,11.6,"2,000.00","23,200.00",15,53,6,0,0,1,0
309,11.65,600,"6,990.00",15,54,24,1,0,0,1
310,11.6,"5,033.00","58,382.80",15,56,46,0,1,0,-1
311,11.65,"1,400.00","16,310.00",15,56,48,1,0,0,1
312,11.65,"5,000.00","58,250.00",15,56,56,0,0,1,0
313,11.65,"3,600.00","41,940.00",15,57,1,0,0,1,0
314,11.6,"2,000.00","23,200.00",15,57,27,0,1,0,-1
315,11.6,"5,000.00","58,000.00",15,59,9,0,0,1,0
316,11.6,"3,000.00","34,800.00",16,1,44,0,0,1,0
317,11.6,"2,700.00","31,320.00",16,1,56,0,0,1,0
318,11.55,"1,153.00","13,317.15",16,2,53,0,1,0,-1
319,11.55,"3,000.00","34,650.00",16,2,53,0,0,1,0
320,11.55,519,"5,994.45",16,2,53,0,0,1,0
321,11.55,"2,000.00","23,100.00",16,2,53,0,0,1,0
322,11.6,700,"8,120.00",16,3,16,1,0,0,1
323,11.6,300,"3,480.00",16,3,16,0,0,1,0
324,11.55,847,"9,782.85",16,5,19,0,1,0,-1
325,11.55,"1,153.00","13,317.15",16,5,19,0,0,1,0
326,11.55,"1,590.00","18,364.50",16,6,27,0,0,1,0
327,11.6,"3,000.00","34,800.00",16,7,49,1,0,0,1
328,11.6,"2,000.00","23,200.00",16,7,49,0,0,1,0
329,11.6,"2,000.00","23,200.00",16,9,55,0,0,1,0
330,11.6,"1,000.00","11,600.00",16,10,32,0,0,1,0
331,11.6,"3,350.00","38,860.00",16,10,32,0,0,1,0
332,11.6,650,"7,540.00",16,10,32,0,0,1,0
333,11.6,"1,276.00","14,801.60",16,10,51,0,0,1,0
334,11.6,"1,276.00","14,801.60",16,11,17,0,0,1,0
335,11.6,"1,724.00","19,998.40",16,11,17,0,0,1,0
336,11.6,"1,000.00","11,600.00",16,11,25,0,0,1,0
337,11.6,318,"3,688.80",16,12,19,0,0,1,0
338,11.65,110,"1,281.50",16,12,19,1,0,0,1
339,11.7,372,"4,352.40",16,12,19,1,0,0,1
340,11.6,"1,500.00","17,400.00",16,17,4,0,1,0,-1
341,11.6,500,"5,800.00",16,19,58,0,0,1,0
342,11.7,"8,175.00","95,647.50",16,24,49,1,0,0,1
343,11.7,"1,825.00","21,352.50",16,24,49,0,0,1,0
344,11.7,"1,325.00","15,502.50",16,25,34,0,0,1,0
345,11.6,"1,100.00","12,760.00",16,26,25,0,1,0,-1
346,11.6,"2,500.00","29,000.00",16,28,41,0,0,1,0
347,11.6,"1,400.00","16,240.00",16,28,41,0,0,1,0
348,11.6,"2,000.00","23,200.00",16,28,41,0,0,1,0
349,11.65,"1,300.00","15,145.00",16,34,2,1,0,0,1
350,11.7,500,"5,850.00",16,34,35,1,0,0,1
351,11.7,500,"5,850.00",16,34,41,0,0,1,0
352,11.6,400,"4,640.00",16,36,20,0,1,0,-1
353,11.6,700,"8,120.00",16,41,17,0,0,1,0
354,11.6,100,"1,160.00",16,41,59,0,0,1,0
355,11.6,"5,900.00","68,440.00",16,41,59,0,0,1,0
356,11.6,"1,000.00","11,600.00",16,41,59,0,0,1,0
357,11.6,"2,600.00","30,160.00",16,41,59,0,0,1,0
358,11.65,706,"8,224.90",16,46,10,1,0,0,1
359,11.65,"7,000.00","81,550.00",16,46,41,0,0,1,0
360,11.6,"5,059.00","58,684.40",16,47,31,0,1,0,-1
361,11.6,470,"5,452.00",16,47,31,0,0,1,0
362,11.65,600,"6,990.00",16,48,36,1,0,0,1
363,11.65,"1,994.00","23,230.10",16,49,3,0,0,1,0
364,11.65,684,"7,968.60",16,53,37,0,0,1,0
365,11.65,"3,316.00","38,631.40",16,53,37,0,0,1,0
366,11.65,"1,000.00","11,650.00",16,53,37,0,0,1,0
367,11.7,531,"6,212.70",16,56,27,1,0,0,1
368,11.8,10,118,17,0,25,1,0,0,1
369,11.8,900,"10,620.00",17,0,25,0,0,1,0
370,11.8,"1,000.00","11,800.00",17,0,25,0,0,1,0
371,11.8,"4,116.00","48,568.80",17,0,25,0,0,1,0
372,11.8,"3,820.00","45,076.00",17,0,25,0,0,1,0
373,11.8,"1,974.00","23,293.20",17,0,25,0,0,1,0
374,11.8,90,"1,062.00",17,0,25,0,0,1,0
375,11.7,"2,564.00","29,998.80",11,0,20,0,1,0,-1
376,11.7,"4,055.00","47,443.50",11,0,20,0,0,1,0
377,11.7,"3,000.00","35,100.00",11,0,48,0,0,1,0
378,11.65,858,"9,995.70",11,0,50,0,1,0,-1
379,11.65,"2,000.00","23,300.00",11,4,9,0,0,1,0
380,11.65,"1,000.00","11,650.00",11,4,14,0,0,1,0
381,11.65,"1,500.00","17,475.00",11,4,49,0,0,1,0
382,11.7,"3,619.00","42,342.30",11,5,50,1,0,0,1
383,11.7,381,"4,457.70",11,5,50,0,0,1,0
384,11.65,"3,500.00","40,775.00",11,5,58,0,1,0,-1
385,11.65,"3,500.00","40,775.00",11,6,16,0,0,1,0
386,11.65,"5,000.00","58,250.00",11,6,30,0,0,1,0
387,11.7,300,"3,510.00",11,8,36,1,0,0,1
388,11.7,"4,081.00","47,747.70",11,8,53,0,0,1,0
389,11.7,919,"10,752.30",11,8,53,0,0,1,0
390,11.7,"2,035.00","23,809.50",11,9,27,0,0,1,0
391,11.7,"4,965.00","58,090.50",11,9,27,0,0,1,0
392,11.7,965,"11,290.50",11,10,22,0,0,1,0
393,11.7,35,409.5,11,10,22,0,0,1,0
394,11.7,29,339.3,11,10,44,0,0,1,0
395,11.7,"2,006.00","23,470.20",11,11,30,0,0,1,0
396,11.7,"1,252.00","14,648.40",11,11,30,0,0,1,0
397,11.7,"1,700.00","19,890.00",11,11,53,0,0,1,0
398,11.65,167,"1,945.55",11,14,46,0,1,0,-1
399,11.65,"1,833.00","21,354.45",11,15,16,0,0,1,0
400,11.7,650,"7,605.00",11,16,9,1,0,0,1
401,11.7,"11,243.00","131,543.10",11,17,58,0,0,1,0
402,11.7,"1,757.00","20,556.90",11,17,58,0,0,1,0
403,11.7,"2,000.00","23,400.00",11,17,58,0,0,1,0
404,11.7,"5,000.00","58,500.00",11,17,58,0,0,1,0
