, PRECIO , VN , PxQ 
488,3.30,973.00,3210.90
489,3.30,1299.00,4286.70
490,3.30,1815.00,5989.50
491,3.34,3000.00,10020.00
492,3.34,597.00,1993.98
493,3.34,895.00,2989.30
494,3.34,508.00,1696.72
495,3.34,842.00,2812.28
496,3.31,893.00,2955.83
497,3.31,2265.00,7497.15
498,3.30,378.00,1247.40
499,3.30,1515.00,4999.50
500,3.31,107.00,354.17
501,3.30,2000.00,6600.00
502,3.30,9900.00,32670.00
503,3.30,3470.00,11451.00
504,3.30,630.00,2079.00
505,3.30,2000.00,6600.00
506,3.31,2000.00,6620.00
507,3.31,2000.00,6620.00
508,3.31,300.00,993.00
509,3.31,2700.00,8937.00
510,3.34,3800.00,12692.00
511,3.34,2265.00,7565.10
512,3.34,500.00,1670.00
513,3.34,1245.00,4158.30
514,3.34,1823.00,6088.82
515,3.34,1447.00,4832.98
516,3.33,1400.00,4662.00
517,3.33,3600.00,11988.00
518,3.34,1333.00,4452.22
519,3.34,67.00,223.78
520,3.34,1000.00,3340.00
521,3.33,5000.00,16650.00
522,3.34,1775.00,5928.50
523,3.34,1225.00,4091.50
524,3.33,8362.00,27845.46
525,3.33,335.00,1115.55
526,3.33,5000.00,16650.00
527,3.33,889.00,2960.37
528,3.33,1776.00,5914.08
529,3.34,6742.00,22518.28
530,3.33,1482.00,4935.06
531,3.33,1000.00,3330.00
532,3.33,592.00,1971.36
533,3.33,3000.00,9990.00
534,3.33,2708.00,9017.64
535,3.33,292.00,972.36
536,3.33,3260.00,10855.80
537,3.32,300.00,996.00
538,3.32,1250.00,4150.00
539,3.32,3450.00,11454.00
540,3.33,6448.00,21471.84
541,3.33,2102.00,6999.66
542,3.31,10000.00,33100.00
543,3.31,5000.00,16550.00
544,3.34,1600.00,5344.00
545,3.33,898.00,2990.34
546,3.35,448.00,1500.80
547,3.30,7370.00,24321.00
548,3.30,7327.00,24179.10
549,3.30,1465.00,4834.50
550,3.35,180.00,603.00
551,3.30,10.00,33.00
552,3.30,1000.00,3300.00
553,3.29,2930.00,9639.70
554,3.25,1000.00,3250.00
555,3.25,1500.00,4875.00
556,3.25,653.00,2122.25
557,3.25,1000.00,3250.00
558,3.25,137.00,445.25
559,3.27,669.00,2187.63
560,3.25,1.00,3.25
561,3.25,491.00,1595.75
562,3.25,2000.00,6500.00
563,3.25,4000.00,13000.00
564,3.25,1156.00,3757.00
565,3.25,844.00,2743.00
566,3.24,2314.00,7497.36
567,3.22,930.00,2994.60
568,3.22,3070.00,9885.40
569,3.22,35.00,112.70
570,3.20,1550.00,4960.00
571,3.20,1562.00,4998.40
572,3.20,3000.00,9600.00
573,3.20,2843.00,9097.60
574,3.24,2686.00,8702.64
575,3.25,2476.00,8047.00
576,3.24,2000.00,6480.00
577,3.25,37175.00,120818.75
578,3.15,1566.00,4932.90
579,3.10,970.00,3007.00
580,3.10,1530.00,4743.00
581,3.10,82.00,254.20
582,3.10,806.00,2498.60
583,3.10,5000.00,15500.00
584,3.00,454.00,1362.00
585,3.00,1412.00,4236.00
586,3.00,940.00,2820.00
587,3.00,2472.00,7416.00
588,3.00,1588.00,4764.00
589,3.00,5000.00,15000.00
590,3.00,1133.00,3399.00
591,3.00,507.00,1521.00
592,3.00,826.00,2478.00
593,3.00,3000.00,9000.00
594,3.00,1174.00,3522.00
595,3.00,1392.00,4176.00
596,3.00,5000.00,15000.00
597,3.00,9838.00,29514.00
598,3.00,1362.00,4086.00
599,2.90,1200.00,3480.00
600,2.85,5000.00,14250.00
601,2.80,1616.00,4524.80
602,2.80,1057.00,2959.60
603,2.80,1500.00,4200.00
604,2.80,10000.00,28000.00
605,2.80,3284.00,9195.20
606,2.80,3571.00,9998.80
607,2.95,117.00,345.15
608,2.92,1383.00,4038.36
609,2.80,3364.00,9419.20
610,2.80,781.00,2186.80
611,2.81,518.00,1455.58
612,2.80,2000.00,5600.00
613,2.80,482.00,1349.60
614,2.80,518.00,1450.40
615,2.80,2000.00,5600.00
616,2.80,3000.00,8400.00
617,2.80,1518.00,4250.40
618,2.80,482.00,1349.60
619,2.80,100.00,280.00
620,2.80,618.00,1730.40
621,2.80,382.00,1069.60
622,2.80,2000.00,5600.00
623,2.80,2000.00,5600.00
624,2.85,55.00,156.75
625,2.85,6871.00,19582.35
626,2.90,162.00,469.80
627,2.90,2000.00,5800.00
628,2.90,2500.00,7250.00
629,2.90,338.00,980.20
630,2.90,2662.00,7719.80
631,2.90,2338.00,6780.20
632,2.90,2662.00,7719.80
633,2.90,50.00,145.00
634,2.90,158.00,458.20
635,2.95,1500.00,4425.00
636,2.95,1890.00,5575.50
637,2.95,3000.00,8850.00
638,2.95,110.00,324.50
639,2.95,2390.00,7050.50
640,2.95,2610.00,7699.50
641,2.95,454.00,1339.30
642,2.95,500.00,1475.00
643,2.99,3129.00,9355.71
644,2.99,2724.00,8144.76
645,2.99,2276.00,6805.24
646,3.00,990.00,2970.00
647,3.00,1158.00,3474.00
648,3.00,5576.00,16728.00
649,3.00,4000.00,12000.00
650,3.00,2000.00,6000.00
651,3.00,8424.00,25272.00
652,3.00,1000.00,3000.00
653,3.00,6000.00,18000.00
654,3.00,1436.00,4308.00
655,3.00,1936.00,5808.00
656,3.00,1564.00,4692.00
657,2.98,3500.00,10430.00
658,2.98,3312.00,9869.76
659,2.97,1000.00,2970.00
660,2.97,2520.00,7484.40
661,2.95,1000.00,2950.00
662,2.94,1000.00,2940.00
663,2.91,1135.00,3302.85
664,2.91,2130.00,6198.30
665,2.91,2112.00,6145.92
666,2.91,1252.00,3643.32
667,2.90,618.00,1792.20
668,2.90,1000.00,2900.00
669,2.90,512.00,1484.80
670,2.86,1000.00,2860.00
671,2.89,2314.00,6687.46
672,2.90,5488.00,15915.20
673,2.90,981.00,2844.90
674,2.90,69.00,200.10
675,2.89,8.00,23.12
676,2.90,1000.00,2900.00
677,2.88,2000.00,5760.00
678,2.90,684.00,1983.60
679,2.90,386.00,1119.40
680,2.90,1930.00,5597.00
681,2.90,2170.00,6293.00
682,2.93,3000.00,8790.00
683,2.93,488.00,1429.84
684,2.93,1616.00,4734.88
685,2.93,195.00,571.35
686,2.93,293.00,858.49
687,2.93,908.00,2660.44
688,2.93,1816.00,5320.88
689,2.94,1679.00,4936.26
690,2.94,2060.00,6056.40
691,2.94,1261.00,3707.34
692,2.95,135.00,398.25
693,2.95,1000.00,2950.00
694,2.95,865.00,2551.75
695,2.96,2520.00,7459.20
696,3.00,2500.00,7500.00
697,3.00,9397.00,28191.00
698,2.97,1480.00,4395.60
699,3.00,1110.00,3330.00
700,3.00,10000.00,30000.00
701,3.00,3000.00,9000.00
702,3.00,2731.00,8193.00
703,3.00,269.00,807.00
704,3.00,2731.00,8193.00
705,3.00,1135.00,3405.00
706,3.05,701.00,2138.05
707,3.05,5000.00,15250.00
708,3.05,2500.00,7625.00
709,3.00,1163.00,3489.00
710,3.05,3000.00,9150.00
711,3.05,700.00,2135.00
712,3.05,1300.00,3965.00
713,3.06,2000.00,6120.00
714,3.07,1000.00,3070.00
715,3.05,2000.00,6100.00
716,3.05,3866.00,11791.30
717,3.05,2000.00,6100.00
718,3.05,4000.00,12200.00
719,3.05,1000.00,3050.00
720,3.06,2338.00,7154.28
721,3.06,3500.00,10710.00
722,3.06,1000.00,3060.00
723,3.05,7149.00,21804.45
724,3.06,2851.00,8724.06
725,3.05,5190.00,15829.50
726,3.05,2500.00,7625.00
727,3.06,5882.00,17998.92
728,3.05,3775.00,11513.75
729,3.05,1225.00,3736.25
