,  PRECIO  ,  VN  ,  PxQ  , Mayor a 100K 
 246 , 2.85 ," 2,100.00 "," 5,985.00 ", -   
 247 , 2.80 ," 1,050.00 "," 2,940.00 ", -   
 248 , 2.80 ," 3,429.00 "," 9,601.20 ", -   
 249 , 2.79 , 600.00 ," 1,674.00 ", -   
 250 , 2.78 , 900.00 ," 2,502.00 ", -   
 251 , 2.79 , 454.00 ," 1,266.66 ", -   
 252 , 2.79 ," 1,421.00 "," 3,964.59 ", -   
 253 , 2.79 ," 2,928.00 "," 8,169.12 ", -   
 254 , 2.79 ," 1,816.00 "," 5,066.64 ", -   
 255 , 2.79 ," 1,816.00 "," 5,066.64 ", -   
 256 , 2.79 ," 7,095.00 "," 19,795.05 ", -   
 257 , 2.79 , 884.00 ," 2,466.36 ", -   
 258 , 2.75 ," 1,236.00 "," 3,399.00 ", -   
 259 , 2.75 , 464.00 ," 1,276.00 ", -   
 260 , 2.79 , 961.00 ," 2,681.19 ", -   
 261 , 2.77 ," 1,497.00 "," 4,146.69 ", -   
 262 , 2.77 ," 5,000.00 "," 13,850.00 ", -   
 263 , 2.78 ," 2,724.00 "," 7,572.72 ", -   
 264 , 2.79 , 10.00 , 27.90 , -   
 265 , 2.79 ," 1,720.00 "," 4,798.80 ", -   
 266 , 2.79 ," 1,952.00 "," 5,446.08 ", -   
 267 , 2.83 ," 2,000.00 "," 5,660.00 ", -   
 268 , 2.85 , 701.00 ," 1,997.85 ", -   
 269 , 2.85 ," 2,726.00 "," 7,769.10 ", -   
 270 , 2.85 ," 3,051.00 "," 8,695.35 ", -   
 271 , 2.85 ," 2,000.00 "," 5,700.00 ", -   
 272 , 2.85 ," 2,000.00 "," 5,700.00 ", -   
 273 , 2.89 ," 10,000.00 "," 28,900.00 ", -   
 274 , 2.90 ," 1,793.00 "," 5,199.70 ", -   
 275 , 2.89 ," 2,468.00 "," 7,132.52 ", -   
 276 , 2.89 ," 2,000.00 "," 5,780.00 ", -   
 277 , 2.89 , 722.00 ," 2,086.58 ", -   
 278 , 2.90 ," 4,231.00 "," 12,269.90 ", -   
 279 , 2.90 ," 1,000.00 "," 2,900.00 ", -   
